@RELATION wada

@ATTRIBUTE mean_x numeric
@ATTRIBUTE std_x numeric
@ATTRIBUTE mean_y numeric
@ATTRIBUTE std_y numeric
@ATTRIBUTE mean_z numeric
@ATTRIBUTE std_z numeric
@ATTRIBUTE Activity {hand_wash,not_hand_wash}

@DATA
-3.52443,1.71985,-5.62686,3.21164,3.55702,5.64828,hand_wash
-3.98800,3.12364,-5.99688,4.42953,-2.98758,5.74247,hand_wash
-4.63865,2.97089,-6.08533,5.06631,-4.97017,4.60501,hand_wash
-4.75177,3.16078,-5.46326,4.41479,4.54575,3.62218,hand_wash
-4.63708,3.11913,-5.24472,2.89384,-5.61338,4.63910,hand_wash
-3.84385,2.01762,-6.97676,2.68417,-1.17168,4.76135,hand_wash
-3.70148,2.25740,-4.10425,3.64611,7.49497,3.33912,hand_wash
-4.75326,1.29041,-5.11674,2.94595,2.50709,6.33449,hand_wash
-4.57227,3.20167,-6.04293,4.77942,-3.33399,5.07164,hand_wash
-5.17138,2.91564,-4.23198,4.69774,5.19834,4.55039,hand_wash
-4.30001,2.93244,-5.95785,3.35736,-4.97134,3.69550,hand_wash
-4.19939,4.25140,-5.71675,3.73537,-3.90839,5.92890,hand_wash
-4.40341,4.14996,-6.47603,3.72099,-5.02697,6.84655,hand_wash
-4.65354,2.29272,-5.82837,6.15918,2.51222,4.97308,hand_wash
-4.31596,2.82972,-6.25013,3.88368,-4.22831,4.71283,hand_wash
-4.75748,2.34663,-2.40245,2.50359,7.48914,3.21405,hand_wash
2.98668,1.71718,-8.61230,2.76082,0.91244,3.09387,hand_wash
5.88638,2.56221,-5.92633,4.26469,2.08453,3.13489,hand_wash
6.39419,2.46316,-4.40421,2.71571,3.35738,4.05829,hand_wash
4.26584,2.24103,-3.37259,5.75697,4.85198,4.01131,hand_wash
5.20159,2.48265,-6.32440,2.78094,5.26843,5.99060,hand_wash
5.41145,1.95219,-5.11169,2.85644,3.93452,3.89716,hand_wash
5.94967,1.72121,-6.58678,1.92832,1.15157,2.73806,hand_wash
5.79693,1.00712,-5.63915,2.91854,3.16637,3.31326,hand_wash
4.79321,1.84567,-6.60150,3.35197,3.18794,2.27615,hand_wash
4.25328,1.06202,-7.30636,1.68978,4.04844,1.47569,hand_wash
5.02760,1.35775,-7.20746,1.76230,3.17361,1.82247,hand_wash
4.85686,1.19406,-5.01258,4.07479,3.87157,3.99095,hand_wash
-4.02782,1.23457,-4.52480,3.18798,6.14279,4.47823,hand_wash
-4.58328,3.12509,-4.62553,3.35245,-5.83293,3.70063,hand_wash
-4.40434,3.09951,-6.96457,4.40847,-3.53944,5.42455,hand_wash
-4.74613,3.54043,-5.18093,3.39169,-5.68606,5.47656,hand_wash
-3.89344,3.37221,-7.17799,4.67113,-1.98339,5.46406,hand_wash
-3.64322,2.40011,-6.17205,3.25716,3.25348,4.52820,hand_wash
-3.36826,1.45647,-3.09508,0.72450,8.48361,1.97527,hand_wash
1.05395,1.57662,-8.84687,2.79366,-1.05140,3.48369,hand_wash
2.25824,2.06593,-8.05861,4.06830,-2.06921,3.28643,hand_wash
1.83892,2.43164,-8.08179,3.03549,-2.79492,3.73186,hand_wash
