mean_x,std_x,median_x,rms_x,mean_y,std_y,median_y,rms_y,mean_z,std_z,median_z,rms_z,Activity
-2.39401,3.48703,-2.53453,4.21753,-7.27561,4.09334,-8.02032,8.34448,-2.30712,6.43695,-3.07700,6.80423,hand_wash
-3.79003,2.40793,-4.15296,4.48057,-7.22663,3.21912,-7.23655,7.89530,-2.74296,4.30317,-3.59852,5.08514,hand_wash
-3.57349,3.19096,-3.82844,4.78365,-6.68360,3.13638,-6.72042,7.37719,-4.07175,5.06881,-4.87087,6.48087,hand_wash
-3.30053,1.97987,-3.25124,3.84534,-3.06422,3.64567,-2.83151,4.72702,7.78180,4.27938,8.97055,8.87492,hand_wash
4.70038,2.91416,4.85231,5.52777,-6.79178,3.84823,-6.45099,7.79561,0.41874,4.93580,0.03622,4.91354,hand_wash
5.66457,2.85792,6.02108,6.32817,-5.47462,4.60595,-5.60614,7.14575,1.78838,5.13975,1.31187,5.42527,hand_wash
5.15946,2.49200,5.18582,5.72785,-4.69619,3.51479,-3.98711,5.86145,4.78299,4.55686,4.71998,6.57404,hand_wash
5.72356,3.21849,6.28573,6.55261,-5.02626,4.40451,-5.05110,6.67588,3.59321,6.08713,4.08291,7.05919,hand_wash
5.24640,2.19863,5.44747,5.67387,-6.49434,3.39646,-7.18446,7.31521,2.67724,3.77308,2.04475,4.62080,hand_wash
5.14632,2.72260,5.25886,5.81987,-6.26005,3.75730,-7.02699,7.29754,2.14248,3.58599,1.69148,4.14045,hand_wash
4.94847,2.28463,5.39478,5.43819,-4.91109,4.24242,-5.83427,6.46363,4.68766,4.73809,5.49777,6.65965,hand_wash
5.52847,1.63932,5.80553,5.75369,-6.27056,2.81068,-7.17668,6.86066,2.48450,2.96838,2.10522,3.86504,hand_wash
4.71258,1.25189,4.79363,4.86779,-6.50880,2.93242,-7.46049,7.12476,3.69787,2.69085,3.52667,4.56839,hand_wash
4.90294,1.94691,5.12654,5.27362,-4.59230,2.92287,-4.70023,5.44079,5.98527,3.58696,6.38991,6.94864,hand_wash
4.30639,1.89414,4.47150,4.70078,-6.43712,3.32314,-7.17548,7.23415,2.96751,3.81359,2.88959,4.80462,hand_wash
3.60141,1.97785,3.88951,4.10012,-5.05723,5.46777,-7.39462,7.42555,3.36244,4.57724,2.00942,5.67356,hand_wash
4.86478,1.65518,5.03673,5.13771,-5.00650,4.15761,-6.37315,6.49794,4.92264,3.62125,5.78637,6.09019,hand_wash
4.14143,2.83459,4.74573,5.01313,-5.31638,4.74321,-6.25819,7.11776,4.52063,4.66496,5.04750,6.45962,hand_wash
5.51858,2.04262,5.75882,5.88305,-4.70938,4.42315,-5.70374,6.44989,4.42239,3.59533,4.35295,5.67213,hand_wash
3.97644,2.76264,4.17931,4.81992,-4.10350,5.44944,-5.19839,6.79541,5.50810,4.29169,5.79715,6.95881,hand_wash
4.29665,2.10643,4.61281,4.77371,-5.92013,3.34927,-6.35279,6.79113,5.20542,4.25069,5.43071,6.70990,hand_wash
4.70343,1.95246,4.99362,5.09063,-4.69692,4.98130,-6.47134,6.82954,4.76917,3.98110,4.42001,6.19052,hand_wash
5.47120,1.92929,5.83187,5.78802,-3.98122,3.87135,-5.23551,5.53922,5.32160,3.22196,5.45585,6.19591,hand_wash
6.29006,2.55813,6.32165,6.78799,-4.17771,4.41750,-4.86069,6.06466,4.12358,4.50924,4.23439,6.09031,hand_wash
4.00858,3.43462,4.81399,5.26123,-2.98200,5.66952,-4.09548,6.35658,4.34967,4.97596,4.91458,6.59582,hand_wash
1.73268,2.11546,1.57832,2.73163,-8.31741,3.36642,-8.30233,8.97031,-1.99129,3.56434,-2.16270,4.04886,hand_wash
2.13547,2.14703,2.18785,3.02403,-7.04161,5.10115,-7.64011,8.65990,0.89726,5.06747,0.46703,5.13460,hand_wash
-4.18849,3.59516,-4.24996,5.51302,-5.89706,4.19008,-5.84624,7.22612,-4.87780,5.89256,-5.23372,7.62103,hand_wash
-4.35370,3.44157,-4.51461,5.54061,-5.39076,5.63705,-5.04631,7.78204,-0.49311,7.36670,-0.17577,7.34861,hand_wash
-4.69300,4.11472,-3.94699,6.23293,-1.78482,4.81237,-1.76513,5.12465,7.68672,6.57681,8.19875,10.09954,hand_wash
-4.29174,3.20320,-4.53856,5.34880,-5.65935,4.83152,-5.34149,7.43567,-5.38628,5.26787,-5.77080,7.51636,hand_wash
-5.02236,3.66953,-5.18342,6.20756,-3.68837,4.97346,-3.03928,6.13716,3.51346,8.42894,6.04263,9.11936,hand_wash
-4.24799,3.83010,-4.37810,5.71165,-5.36040,4.45019,-4.94033,6.96052,-4.56585,7.06208,-5.29479,8.37988,hand_wash
-4.31020,3.67896,-4.02004,5.65492,-5.25856,4.57231,-5.20078,6.92796,0.08812,7.52752,0.87298,7.51541,hand_wash
-3.98204,4.13366,-3.88951,5.72856,-5.62758,4.47221,-5.19240,7.18231,-2.78356,7.95523,-3.41829,8.39818,hand_wash
-4.55076,2.73116,-4.56311,5.30506,-5.17646,4.01328,-5.14271,6.54407,-3.27659,6.25979,-4.63496,7.05089,hand_wash
-4.52921,4.29963,-4.20805,6.23777,-3.51076,3.83019,-3.34464,5.17999,7.59062,4.95650,7.55868,9.05432,hand_wash
-4.34317,2.65290,-4.52180,5.08458,-5.36975,3.84554,-4.56131,6.59856,-1.17586,6.90233,-2.96024,6.96785,hand_wash
-4.09215,3.16843,-4.13859,5.15505,-6.18022,3.90188,-6.44500,7.28437,-1.45831,6.33080,-1.89745,6.48522,hand_wash
-4.06345,2.72638,-4.02663,4.88511,-5.90946,4.31753,-5.70793,7.31191,-1.58455,6.43834,-3.06443,6.59588,hand_wash
-4.41426,2.83864,-4.63556,5.24053,-5.89423,3.51625,-6.11568,6.69866,-0.61181,6.02491,-0.39877,6.04230,hand_wash
-4.51004,2.58118,-4.61400,5.18832,-5.18770,4.03032,-4.58407,6.56245,0.26779,6.57094,0.65194,6.54544,hand_wash
-3.59436,2.20312,-3.30872,4.19292,-5.25565,2.95370,-4.66849,5.99032,0.45638,7.17338,-0.04048,7.17364,hand_wash
-4.03272,2.81707,-4.00567,4.91364,-5.61092,3.89619,-5.13432,6.82555,-0.91530,6.39144,-2.09085,6.42245,hand_wash
-4.83895,2.64311,-4.77447,5.50408,-5.11890,4.31429,-4.73974,6.68825,1.47911,6.42656,2.85846,6.56568,hand_wash
-4.29952,3.80544,-4.47988,5.73712,-6.04404,3.60771,-6.12287,7.01817,-4.63134,5.62778,-5.02595,7.27974,hand_wash
-4.57750,2.49981,-4.69783,5.21350,-4.78936,4.72975,-4.58167,6.72576,1.99214,6.49557,3.03688,6.77613,hand_wash
-4.28644,3.13196,-4.72298,5.29737,-5.29388,4.64622,-5.06307,7.03757,-0.37777,6.85601,-0.57328,6.83447,hand_wash
-3.95768,6.49334,-3.30812,7.59488,-4.98941,4.01631,-4.74992,6.39991,2.68330,7.45074,3.35303,7.88583,hand_wash
-4.14040,9.51432,-2.27347,10.36242,-3.67368,4.58490,-2.71116,5.86900,6.31613,5.87957,5.43909,8.62199,hand_wash
-1.89355,2.13100,-1.57473,2.84096,-6.18877,3.61289,-8.18797,7.16310,2.07136,5.73341,0.11134,6.06189,hand_wash
-3.65027,4.06762,-3.65779,5.41910,-7.48129,4.43645,-7.76346,8.66660,-2.25556,6.18498,-2.83151,6.53914,hand_wash
-3.12153,3.64192,-2.65488,4.77425,-3.32904,4.23126,-2.41178,5.37464,5.58467,7.19697,8.09038,9.07965,hand_wash
-2.49023,2.71320,-2.82852,3.67425,-6.25474,3.80574,-6.73480,7.31790,0.82314,7.37600,0.06711,7.38855,hand_wash
-3.50324,3.44473,-3.75898,4.90874,-7.51789,3.18582,-7.77783,8.13993,-2.71004,5.48966,-3.07640,6.10301,hand_wash
-2.99880,3.83152,-2.96623,4.86018,-4.02830,4.07077,-3.14227,5.69765,5.42354,7.13161,7.66765,8.94274,hand_wash
-3.04738,3.12174,-2.48723,4.35663,-7.18522,3.45793,-7.32696,7.97089,-1.09512,5.89837,-1.99984,5.96187,hand_wash
-2.66769,3.85748,-2.39861,4.67839,-6.22991,4.19939,-5.65344,7.49387,3.10607,7.49500,4.65113,8.09859,hand_wash
-1.22445,1.46116,-1.03824,1.90331,-8.21583,2.54632,-9.08850,8.59813,-0.58435,3.34638,-1.39630,3.35240,hand_wash
-3.49804,3.43644,-3.62845,4.85997,-7.41827,3.62140,-7.50599,8.21783,-2.13140,5.98941,-2.43933,6.29000,hand_wash
-3.73749,3.47594,-4.04639,5.09770,-7.02681,4.88252,-7.26170,8.53839,-0.55582,6.50220,-1.33762,6.51499,hand_wash
-3.12014,2.35235,-3.03868,3.90089,-6.56942,3.11389,-7.06351,7.26593,-0.96567,5.89635,-1.64717,5.93975,hand_wash
-3.42717,2.37373,-3.49793,4.15977,-7.55773,3.25295,-7.79160,8.21788,-1.38442,4.42926,-1.63640,4.61733,hand_wash
-2.85441,3.16488,-2.76266,4.25458,-6.83040,3.76201,-7.21140,7.79458,-1.34444,6.34753,-2.39382,6.45017,hand_wash
-3.09606,1.99852,-3.26800,3.67302,-3.52185,3.48594,-1.77231,4.91310,5.55280,6.20417,9.08191,8.31634,hand_wash
-3.06383,3.40364,-3.10754,4.57059,-7.09028,4.61551,-7.62934,8.45571,-0.31911,7.16396,-0.17044,7.13637,hand_wash
-3.80672,3.25947,-3.60031,5.00580,-7.12926,3.53879,-7.32996,7.95571,-2.30444,5.33119,-2.29323,5.79050,hand_wash
-2.65905,2.69986,-2.28724,3.77610,-5.65488,4.19130,-6.38991,7.03437,-2.31306,6.50422,-3.49194,6.87118,hand_wash
-3.53683,2.45606,-3.64522,4.29887,-6.78408,2.81524,-6.95274,7.33358,-3.35453,4.63006,-3.91107,5.70560,hand_wash
-3.68294,1.65167,-3.93621,4.02858,-5.29808,2.67614,-5.03673,5.92022,-1.64550,6.46698,-4.89901,6.65804,hand_wash
-2.71373,1.95197,-2.87522,3.33764,-6.10473,3.05271,-6.14502,6.82174,0.90755,6.73184,0.91789,6.76098,hand_wash
-3.78477,3.46202,-3.84520,5.11489,-4.91887,5.58263,-5.45106,7.42735,2.35394,6.79985,3.49793,7.16873,hand_wash
-3.50945,4.00328,-3.06083,5.30814,-6.12734,5.09412,-5.06547,7.96244,1.48215,7.81362,0.95681,7.92408,hand_wash
-3.58689,5.26204,-3.39195,6.30593,-6.21040,5.89236,-6.23783,8.54623,-1.42165,8.46692,-0.36704,8.52491,hand_wash
-3.09629,2.99034,-2.99258,4.29273,-5.14103,4.09687,-5.13851,6.55408,2.37192,7.91890,4.37929,8.23842,hand_wash
-1.36762,3.14682,-0.45505,3.41699,-7.40536,2.81652,-7.95985,7.92071,0.18830,7.13764,0.49218,7.10824,hand_wash
-3.11250,2.22589,-3.26441,3.81516,-6.95630,3.32730,-7.03777,7.68781,-2.90283,4.91544,-3.74342,5.69839,hand_wash
-3.75184,2.41697,-3.96196,4.45342,-6.73917,2.96527,-6.82700,7.34801,-2.45121,5.05053,-3.88951,5.60167,hand_wash
-3.42953,2.34880,-3.63684,4.15321,-6.70292,3.46655,-6.80784,7.51731,-2.81409,4.79005,-3.87275,5.54069,hand_wash
-3.04397,3.52087,-2.82373,4.64948,-4.62488,3.98420,-4.48707,6.05445,2.27499,7.76347,2.32197,8.07781,hand_wash
-3.53334,2.42244,-3.45302,4.28023,-6.42412,3.06199,-6.56116,7.11310,-1.46521,6.22881,-3.44703,6.36543,hand_wash
-1.55618,5.69005,-0.68857,5.88847,-5.56783,5.71888,-5.22234,7.96947,5.34921,6.18912,5.17683,8.16645,hand_wash
-2.71328,2.90693,-2.51597,3.96843,-6.45130,3.74346,-5.92049,7.45455,-3.05675,6.24996,-4.97326,6.92457,hand_wash
-2.42324,3.70684,-1.62143,4.42330,-5.94998,3.80126,-5.21995,7.02923,0.90285,8.26689,1.06526,8.27347,hand_wash
-2.69964,3.09639,-1.99146,4.10307,-6.98502,4.13357,-7.20901,8.11127,-1.09083,6.60031,-1.39989,6.65328,hand_wash
-2.50886,3.39750,-2.11480,4.21007,-5.72761,3.85489,-5.33610,6.84534,2.52001,7.16433,5.32533,7.57295,hand_wash
-2.78032,3.12438,-2.51597,4.17773,-7.25332,3.47051,-7.44731,8.03375,-1.30710,6.12130,-2.10522,6.22991,hand_wash
-2.88314,2.99003,-2.41897,4.14979,-6.28291,3.26930,-6.24142,7.05583,-1.46860,6.73340,-1.91362,6.87184,hand_wash
-2.34331,3.80558,-2.28126,4.46194,-6.96595,3.59158,-7.17069,7.83427,-1.02952,8.36703,-0.37841,8.39752,hand_wash
-3.64734,3.14342,-3.73264,4.79345,-6.69447,3.82912,-6.26896,7.69618,-3.58435,5.47362,-4.55533,6.50565,hand_wash
-2.73390,2.42804,-2.52495,3.63705,-5.43900,3.30823,-5.17504,6.35731,2.05926,7.53686,3.18597,7.79566,hand_wash
-3.03187,3.54383,-2.63332,4.65743,-6.89147,3.70331,-6.98028,7.81875,-1.36137,6.92595,-1.46815,7.02556,hand_wash
-2.47045,2.28835,-2.07109,3.35667,-7.65553,2.69689,-8.50711,8.10366,-0.50040,4.83782,-0.00785,4.80617,hand_wash
-2.78113,2.82806,-2.69080,3.96139,-7.54397,3.56101,-7.55150,8.32402,-2.84440,5.07030,-3.05604,5.80507,hand_wash
-2.68414,3.14952,-2.18725,4.13339,-6.56756,3.02480,-6.47673,7.21948,-1.16992,6.73156,-2.17288,6.80581,hand_wash
-2.59619,3.07532,-2.28066,4.01875,-6.83212,3.79767,-7.27308,7.81225,-2.48962,6.05978,-3.29375,6.51752,hand_wash
-2.38267,3.96976,-1.79028,4.62358,-5.70446,3.32046,-5.39239,6.56439,2.73394,7.32342,5.77679,7.80576,hand_wash
-2.71364,2.36027,-2.42975,3.59328,-6.87632,2.80062,-7.31679,7.42120,-1.65290,5.90501,-3.54463,6.09771,hand_wash
-2.86414,3.40401,-2.54291,4.44138,-5.33651,3.46309,-5.32113,6.35696,1.83536,7.94493,1.43342,8.13078,hand_wash
-1.88002,3.23737,-1.27295,3.73815,-6.56522,3.05208,-6.80665,7.23622,-2.31427,6.33029,-3.60570,6.70586,hand_wash
-2.56008,3.07870,-2.01062,3.99943,-4.24315,3.52087,-4.48467,5.51013,6.53263,5.78198,7.75747,8.71780,hand_wash
-8.87169,4.98316,-8.98132,10.17130,-4.06447,3.82907,-2.95665,5.57760,0.31599,2.73431,0.35446,2.71930,not_hand_wash
-9.09217,3.25505,-9.34537,9.65083,-4.21286,2.56663,-4.20446,4.93098,-0.62764,1.98842,-0.68498,2.08079,not_hand_wash
-3.26673,5.40469,-0.97118,6.29041,-4.41475,2.62627,-5.04092,5.13370,-4.20078,4.16000,-5.57980,5.90727,not_hand_wash
2.09092,0.86448,2.25970,2.25917,-7.71272,1.98725,-8.03349,7.95155,-3.79831,1.30270,-3.73563,4.00942,not_hand_wash
1.20342,0.73332,1.14781,1.40812,-8.32536,1.96673,-8.68195,8.53818,-2.87526,1.00535,-3.08658,3.03898,not_hand_wash
-0.09033,4.32261,1.37055,4.31520,-7.66123,2.70850,-8.62626,8.10935,-2.07178,1.61550,-2.10881,2.62330,not_hand_wash
-5.48487,5.48772,-4.69124,7.74052,-4.45012,2.96351,-4.20386,5.33877,-4.01334,4.11823,-5.86241,5.74512,not_hand_wash
-2.73415,0.71816,-2.99617,2.82331,-6.61163,1.57891,-6.92460,6.78462,-5.15917,1.30709,-5.48759,5.31127,not_hand_wash
-8.22487,2.68403,-9.18730,8.64807,-1.76262,3.37315,-1.62502,3.78502,-0.22698,2.44502,0.24190,2.42787,not_hand_wash
-8.34303,2.25337,-8.60291,8.62560,-2.31945,2.01749,-2.37227,3.06834,3.09757,1.49450,3.08119,3.43818,not_hand_wash
-8.12540,1.81206,-8.55501,8.31123,-1.97933,0.50916,-2.06091,2.03905,4.56564,1.07552,4.74334,4.68211,not_hand_wash
-8.32276,1.85366,-8.69332,8.51245,-2.40585,0.62356,-2.48543,2.48195,3.86073,0.92739,4.21464,3.96314,not_hand_wash
-8.22283,1.84824,-8.62087,8.41202,-3.13104,0.83311,-3.20633,3.23613,3.36869,0.80949,3.57217,3.45867,not_hand_wash
-7.87275,2.32272,-9.03401,8.19235,-2.95871,1.65884,-2.28245,3.38592,1.36903,3.31186,3.10514,3.57522,not_hand_wash
1.63564,1.99128,2.32916,2.56451,-4.95489,1.23327,-5.24030,5.09935,-6.88323,1.60545,-7.07130,7.05565,not_hand_wash
2.74925,0.69345,2.90695,2.82896,-4.79974,1.26834,-4.89841,4.95709,-6.82470,1.59341,-7.17488,6.99736,not_hand_wash
2.33545,0.60726,2.45489,2.40846,-5.65302,1.82696,-5.25407,5.93465,-6.18966,1.76200,-6.87131,6.42122,not_hand_wash
1.48438,1.30187,1.11368,1.97070,-6.25175,2.01866,-6.09652,6.56190,-5.13456,3.09288,-6.41147,5.97910,not_hand_wash
