mean_x,std_x,mean_y,std_y,mean_z,std_z,Activity
-0.03864,2.19275,-6.59291,2.96471,3.73172,4.99678,hand_wash
-3.03446,3.48209,-6.65840,2.64161,-5.36580,4.86283,hand_wash
-2.42634,3.08916,-6.45185,3.48818,-4.81117,4.66281,hand_wash
-2.20708,1.87099,-6.84435,2.68447,2.22724,5.41098,hand_wash
-1.55591,3.17172,-3.87599,1.90423,8.88682,4.84050,hand_wash
-3.90074,3.43796,-2.13067,3.89801,8.28266,4.63645,hand_wash
-0.54132,0.39521,-7.84714,3.13180,2.37765,3.79220,hand_wash
-1.22972,0.36514,-8.70728,1.96115,-1.38544,0.35624,hand_wash
-1.81846,2.27170,-8.04323,2.44144,-2.37445,2.85311,hand_wash
-3.53178,3.65437,-7.48333,3.23481,-4.50872,5.77121,hand_wash
-2.74193,3.58479,-7.11537,3.05409,-2.75274,5.23450,hand_wash
-4.20790,2.91682,-7.65463,4.40477,0.69191,5.79042,hand_wash
-4.01481,4.18153,-6.99752,4.33363,-2.88278,7.06978,hand_wash
-3.63330,2.82287,-6.09433,6.01863,2.36721,5.57487,hand_wash
-3.57978,3.36402,-8.02507,3.79022,-1.36402,5.70266,hand_wash
-3.73196,3.82782,-7.09826,3.25741,-3.81249,6.28722,hand_wash
-2.05109,2.25036,-4.35401,3.06526,7.58516,3.84135,hand_wash
-0.47229,1.04167,-6.83549,2.13635,6.47279,1.65627,hand_wash
-0.83083,2.84141,-8.18982,3.00072,-0.70940,5.75309,hand_wash
-2.69544,4.11327,-7.12436,2.99973,-4.46633,7.37543,hand_wash
-3.03173,1.92324,-7.00468,4.44328,-5.49469,3.29575,hand_wash
-3.14584,2.41358,-7.03210,2.98905,-0.89297,5.31241,hand_wash
-3.15989,2.32650,-6.82726,2.16100,-2.37047,4.73948,hand_wash
-3.61233,2.28951,-6.85352,3.15935,-1.60932,5.05107,hand_wash
-4.10192,2.71002,-6.56784,2.77120,-4.51858,3.87598,hand_wash
-3.54981,2.21555,-6.79457,2.97561,-1.27511,5.45798,hand_wash
-3.48861,1.85229,-6.83020,3.51308,-4.14842,3.42054,hand_wash
-3.44273,2.81649,-7.06513,3.05905,-3.26504,3.99351,hand_wash
-3.35799,2.30114,-6.21844,3.76703,-1.04703,6.02760,hand_wash
-3.22230,4.53177,-6.86218,2.76085,-4.27391,5.61642,hand_wash
-3.34034,1.88137,-5.93211,3.38719,1.56499,6.93601,hand_wash
-2.60061,3.63612,-1.33940,3.27516,8.94871,3.75147,hand_wash
-2.19046,2.06715,-6.55546,3.35727,3.71142,5.43827,hand_wash
-3.61026,3.70686,-7.25662,3.68081,-3.20121,5.00780,hand_wash
-3.25513,3.12992,-7.69053,3.24963,-3.34333,4.37330,hand_wash
-3.66943,3.38795,-7.47370,3.81301,-2.86986,6.33259,hand_wash
-2.62240,1.95556,-6.05894,4.19793,4.54947,5.37878,hand_wash
-1.76741,5.25832,-5.22683,4.28734,7.30349,6.76220,hand_wash
-1.74639,4.54109,-5.64098,5.16837,7.20469,5.35980,hand_wash
-4.00349,2.52756,-5.22399,3.51759,1.98783,6.56827,hand_wash
-4.38150,3.56871,-5.08108,4.23643,-5.56536,5.12741,hand_wash
-4.44849,3.18788,-5.55860,5.79366,2.44504,5.66853,hand_wash
-3.94654,3.37818,-5.67926,2.92385,-4.61433,5.25323,hand_wash
-4.02743,5.51605,-4.63971,3.31268,6.59394,5.25448,hand_wash
-3.90267,9.15995,-4.64900,5.28839,6.08498,5.61332,hand_wash
-3.85962,10.31494,-3.96577,4.70394,5.89583,5.69873,hand_wash
-3.31078,10.06455,-4.33227,4.28312,5.79435,5.79426,hand_wash
-5.26127,7.95576,-2.71404,4.64203,7.26708,6.08084,hand_wash
-4.54136,3.04629,-6.16389,4.41332,-4.69600,5.05743,hand_wash
-3.81493,2.48840,-5.11288,4.20255,-6.07437,3.96228,hand_wash
-4.56386,3.90094,-5.77505,5.71405,-5.28996,6.47145,hand_wash
-5.02267,3.24676,-5.98950,5.55624,-4.77850,5.83328,hand_wash
-4.91997,4.32645,-2.83262,4.58693,6.74452,6.53195,hand_wash
